515   J1132-5627    kbm+03     0.175166247082          10  kbm+03     5.7088623902           4  kbm+03     305.7          8  kbm+03     2.91   2.91     ymw17

516   B1131-62      jlm+92     1.02287514082            9  jml+95     0.97763642902          9  jml+95     567.8          5  jml+95     7.45   7.45     ymw17
517   J1135-49      bbj+11     *                        0  *          *                      0  *          114           20  bbj+11     2.13   2.13     ymw17
518   J1135-6055    sbd+11      0.114943                0  sbd+11     8.7                    0  sbd+11     *              0  *          *      *        *
519   B1133+16      phbc68     1.187913065936           3  hlk+04     0.8418124429095       18  hlk+04     4.84066       34  bkk+16     0.35   0.41     ymw17
520   B1133-55      mlt+78     0.36470557624            2  smd93      2.74193778529         16  smd93      85.5           7  nmc81      1.52   1.52     ymw17

521   J1137-6700    lml+98     0.55621605570            2  dsb+98     1.79786252078          7  dsb+98     228.041        9  dsb+98     2.60   2.60     ymw17
522   J1138-6207    mlc+01     0.117563794023           3  mlc+01     8.50602014261         18  mlc+01     520.4          4  pkj+13     7.20   7.20     ymw17
523   J1141-3107    mld+96     0.538431789013           4  dsb+98     1.857245468053        14  dsb+98     30.77          3  dsb+98     0.78   0.78     ymw17
524   J1141-3322    lml+98     0.291467536511           4  hlk+04     3.43091382310          4  hlk+04     46.448        17  hlk+04     1.85   1.85     ymw17
525   J1141-6545    klm+00a    0.3938988148378          7  mks+10     2.538723048486         4  mks+10     116.080        1  bbv08      3.00   1.68     ymw17

526   J1142+0119    rap+12     0.00507                  0  rap+12       197.238659           0  rap+12     19.2           0  rap+12     2.18   2.18     ymw17
527   J1142-6230    mlc+01     0.55838338569           10  mlc+01     1.7908842305           3  mlc+01     343.8         17  mlc+01     3.48   3.48     ymw17
528   J1143-5158    mld+96     0.675646047064           8  dsb+98     1.480064901357        18  dsb+98     159.03         2  dsb+98     2.40   2.40     ymw17
529   J1143-5536    bbb+12     0.68535848563            4  bbb+12     1.45909041905          9  bbb+12     185.0          1  bbb+12     2.22   2.22     ymw17
530   J1144-6146    mlc+01     0.98778306934           16  mlc+01     1.01236803003         16  mlc+01     78.7          13  mlc+01     1.40   1.40     ymw17

531   J1144-6217    mlc+01     0.85066494337            4  mlc+01     1.17555097079          5  mlc+01     284.7          6  mlc+01     2.65   2.65     ymw17
532   B1143-60      mlt+78     0.27337242988            3  nmc81      3.6580133572           5  nmc81      111.68         7  hfs+04     1.63   1.63     ymw17
533   J1147-66      mlb+12     0.00372                  0  mlb+12       268.817204           0  mlb+12     133.8          0  mlb+12     1.79   1.79     ymw17
534   J1148-5725    lfl+06     3.5599372320             7  lfl+06     0.28090382915          5  lfl+06     174            5  lfl+06     2.06   2.06     ymw17
535   J1148-6415    kbm+03     3.2410285031             8  kbm+03     0.30854403133          8  kbm+03     241            6  kbm+03     2.45   2.45     ymw17

536   J1151-6108    ncb+15     0.101633196293           2  ncb+15     9.83930483813         20  ncb+15     216            1  ncb+15     2.22   2.22     ymw17
537   J1152-5800    hfs+04     1.7898294664             5  hfs+04     0.55871244649         13  hfs+04     191            7  hfs+04     2.16   2.16     ymw17
538   J1152-6012    kbm+03     0.37656956576            5  kbm+03     2.6555518314           4  kbm+03     74             3  kbm+03     1.37   1.37     ymw17
539   J1153-21      kkl+15     2.34348                  5  kkl+15     0.426716              10  kkl+15     34.8           1  kkl+15     2.33   2.33     ymw17
540   J1154-6250    kbm+03     0.28201171065            3  kbm+03     3.5459520376           4  kbm+03     74             6  kbm+03     1.36   1.36     ymw17

541   J1156-5707    hfs+04     0.288409420325           8  hfs+04     3.46729312404          9  hfs+04     243.2          1  pkj+13     2.85   2.85     ymw17
542   J1156-5909    lml+98     1.0379310509             9  dsb+98     0.9634551343           9  dsb+98     219.2          1  dsb+98     2.33   2.33     ymw17
543   J1157-5112    eb01       0.04358922706284        12  eb01b      22.94144832067         7  eb01b      39.67          4  eb01b      0.96   0.96     ymw17
544   B1154-62      lvw69b     0.400522048340           4  smd93      2.49674145068          3  smd93      325.2          5  nmc81      4.00   4.77     ymw17
545   J1159-6409    kbm+03     0.66748553354            6  kbm+03     1.49815980984         14  kbm+03     178            5  kbm+03     2.04   2.04     ymw17

546   J1159-7910    lml+98     0.5250742392             3  dsb+98     1.9044925943          11  dsb+98     59.24          2  dsb+98     1.61   1.61     ymw17
547   J1201-6306    kbm+03     0.59213602908            5  kbm+03     1.68880113840         15  kbm+03     683            3  kbm+03     9.54   9.54     ymw17
548   B1159-58      mlt+78     0.452800508195          19  nmc81      2.20847808671         10  nmc81      145.41        19  hfs+04     1.89   1.89     ymw17
549   J1204-6843    ebvb01     0.3088608620097         19  ebvb01     3.237703843385        20  ebvb01     133.93         9  ebvb01     1.91   1.91     ymw17
550   J1207-5050    rap+12     0.00484                  0  rap+12       206.611570           0  rap+12     50.6           0  rap+12     1.27   1.27     ymw17

551   J1208-6238    cpw+16     0.440590723652          14  cpw+16     2.26968010518          7  cpw+16     *              0  *          *      *        *
552   J1210-5226    zpst00     0.424130748816          12  gha13      2.357763502865        65  gha13      *              0  *          2.60   *        *
553   J1210-5559    mld+96     0.2797673308446          9  dsb+98     3.574398758358        12  dsb+98     174.347        3  dsb+98     2.37   2.37     ymw17
554   J1210-6550    hfs+04     4.2370102164            18  hfs+04     0.2360154800           1  hfs+04     37             6  hfs+04     0.92   0.92     ymw17
555   J1211-6324    kbm+03     0.433083926199          17  kbm+03     2.30902127626         10  kbm+03     333.8         11  kbm+03     8.05   8.05     ymw17

556   J1214-5830    kbm+03     0.90982270118            4  kbm+03     1.09911524378          5  kbm+03     141.1          7  kbm+03     1.88   1.88     ymw17
557   J1215-5328    ebvb01     0.63641413680            5  ebvb01     1.57130387616         13  ebvb01     163.0          5  ebvb01     3.28   3.28     ymw17
558   J1216-50      bbj+11     6.355                    9  bbj+11     0.1574                 3  bbj+11     110           20  bbj+11     2.30   2.30     ymw17
559   J1216-6223    mlc+01     0.37404678583            5  mlc+01     2.6734623525           3  mlc+01     790            1  pkj+13     18.27  18.27    ymw17
560   J1216-6410    fsk+04     0.003539375658423        3  lfl+06     282.53570587239       17  lfl+06     47.40          3  lfl+06     1.10   1.10     ymw17

561   J1220-6318    mlc+01     0.78921201205            8  mlc+01     1.26708664431         12  mlc+01     347            3  mlc+01     8.95   8.95     ymw17
562   J1222-5738    kbm+03     1.0811635266            13  kbm+03     0.9249294629          12  kbm+03     74             6  kbm+03     1.41   1.41     ymw17
563   J1224-6208    mlc+01     0.58576120812            4  mlc+01     1.70718030852         11  mlc+01     454.2          7  mlc+01     9.88   9.88     ymw17
564   B1221-63      kac+73     0.2164762031209         14  smd93      4.61944539669          3  smd93      97.686         4  pkj+13     4.00   1.54     ymw17
565   J1225-5556    mld+96     1.018452868182          15  dsb+98     0.981881470652        15  dsb+98     125.835        7  dsb+98     1.93   1.93     ymw17

566   J1225-6035    kbm+03     0.626323941978          18  kbm+03     1.59661787292          5  kbm+03     176.1         10  kbm+03     2.19   2.19     ymw17
567   B1222-63      mlt+78     0.4196177915             3  nmc81      2.3831210694          18  nmc81      415.1          5  hfs+04     9.84   9.84     ymw17
568   J1226-3223    bb10       6.1930040852             5  jcs+17     0.161472523874        14  jcs+17     36.7           0  cbmp17     2.17   2.17     ymw17
569   J1227-4853    rrb+15     0.001686375410273       12  rrb+15     592.987773605          4  rrb+15     43.4235        7  rrb+15     1.80   1.24     ymw17
570   J1227-6208    btb+15     0.03452783464780         2  btb+15     28.962140551253       17  btb+15     363.0          2  btb+15     9.47   9.47     ymw17

571   J1227-63      ncb+15     0.44457796               6  ncb+15     2.2493243              4  ncb+15     359            4  ncb+15     9.41   9.41     ymw17
572   J1231-1411    rrc+11     0.003683878711077        3  rrc+11     271.4530196103         2  rrc+11     8.090          1  rrc+11     0.42   0.42     ymw17
573   J1231-4609    jbo+09     0.87723907778            4  jbo+09     1.13994009766          6  jbo+09     76             7  jbo+09     2.43   2.43     ymw17
574   J1231-6303    kbm+03     1.3512362992             6  kbm+03     0.7400630079           4  kbm+03     301           10  kbm+03     8.28   8.28     ymw17
575   J1232-4742    ebvb01     1.8729943770             2  jbo+09     0.53390443254          6  jbo+09     26             3  jbo+09     0.87   0.87     ymw17

576   J1232-6501    clm+01     0.0882819082341          4  clm+01     11.32734917043         4  clm+01     239.4          5  clm+01     5.42   5.42     ymw17
577   J1233-6312    kbm+03     0.5647593892             4  kbm+03     1.7706655597          13  kbm+03     414           13  kbm+03     10.02  10.02    ymw17
578   J1233-6344    kbm+03     0.75689193363            7  kbm+03     1.32119257131         13  kbm+03     495            9  kbm+03     10.38  10.38    ymw17
579   B1232-55      mlt+78     0.63823381               1  nmc81      1.56682392             3  nmc81      100           20  nmc81      1.72   1.72     ymw17
580   J1235-6354    kbm+03     0.256777653406          12  kbm+03     3.89441988715         19  kbm+03     439.9         19  kbm+03     10.30  10.30    ymw17

581   J1236-5033    ebvb01     0.294759771191           4  ebvb01     3.39259321569          5  ebvb01     105.02        11  ebvb01     2.76   2.76     ymw17
582   J1237-6725    kbm+03     2.11097411794           14  kbm+03     0.47371495060          4  kbm+03     176.5          3  bbb+12     3.03   3.03     ymw17
583   J1238+2152    rtj+96     1.11859068945            4  hlk+04     0.89398205209          3  hlk+04     17.9706       31  bkk+16     2.55   2.55     ymw17
584   B1237+25      lan69      1.3824491030388         10  hlk+04     0.7233539359980        5  hlk+04     9.25159       53  bkk+16     0.84   0.83     ymw17
585   B1236-68      mlt+78     1.3019081139             4  nmc81      0.7681033625           3  nmc81      94.3           3  hfs+04     1.57   1.57     ymw17

586   B1237-41      mlt+78     0.51224209318           11  nmc81      1.9522019243           5  nmc81      44.1          12  nmc81      1.68   1.68     ymw17
587   J1242+39      ttol16     1.3100                   0  ttol16         0.763359           0  ttol16     26             1  ttol16     25.00  +25.00   ymw17
588   J1243-5735    kbm+03     0.47122487769           16  kbm+03     2.1221290457           8  kbm+03     270.6         19  kbm+03     14.15  14.15    ymw17
589   B1240-64      lvw69a     0.388480921041           5  smd93      2.57412898765          4  smd93      297.25         8  hfs+04     2.00   9.41     ymw17
590   J1244-5053    ebvb01     0.275207111323           4  ebvb01     3.63362703526          6  ebvb01     109.95        12  ebvb01     3.42   3.42     ymw17

591   J1244-6359    ncb+15     0.14727431048            2  ncb+15     6.7900504626          10  ncb+15     286            1  ncb+15     8.49   8.49     ymw17
592   J1244-6531    kel+09     1.5468189400             3  kel+09     0.64648807571         13  kel+09     388            2  kel+09     10.86  10.86    ymw17
593   J1245-6238    mlc+01     2.2830933508             3  mlc+01     0.43800223922          4  mlc+01     336.2         20  mlc+01     9.95   9.95     ymw17
594   J1246+2253    tdk+93     0.473870557518           4  bfrs18     2.110280928271        14  bfrs18     17.792         3  bfrs18     2.47   2.47     ymw17
595   J1248-6344    kbm+03     0.198335136357           8  kbm+03     5.0419709708           3  kbm+03     433.0          6  pkj+13     10.70  10.70    ymw17

596   J1248-6444    ncb+15     1.23489349389            3  ncb+15     0.809786434982        20  ncb+15     236.4         11  ncb+15     5.97   5.97     ymw17
597   J1249-6507    kbm+03     0.43444487308            3  kbm+03     2.30178801032         16  kbm+03     215            4  kbm+03     5.12   5.12     ymw17
598   J1251-7407    bbb+12     0.32705773823            2  bbb+12     3.05756410294         19  bbb+12     89.81          5  bbb+12     1.86   1.86     ymw17
599   J1252-6314    mlc+01     0.82333927128            6  mlc+01     1.21456613923          8  mlc+01     278.4         13  mlc+01     7.32   7.32     ymw17
600   J1253-5820    mld+96     0.2554963274098          7  dsb+98     3.913950584488        11  dsb+98     100.584        4  dsb+98     1.64   1.64     ymw17

601   J1254-6150    kbm+03     0.184502203069           7  kbm+03     5.4199894818           3  kbm+03     95             3  kbm+03     1.53   1.53     ymw17
602   J1255-46      bcm+15     0.052                    0  bcm+15        19.230769           0  bcm+15     42.9           0  bcm+15     1.36   1.36     ymw17
603   J1255-6131    kbm+03     0.65797363034            3  kbm+03     1.51981774632          7  kbm+03     206.5         17  kbm+03     4.83   4.83     ymw17
604   J1255-62      ncb+15     0.18291150816            3  ncb+15     5.4671245678           9  ncb+15     713            4  ncb+15     19.81  19.81    ymw17
605   B1254-10      dtws85     0.6173076699955          8  hlk+04     1.6199377532557       20  hlk+04     29.634         9  hlk+04     25.00  +25.00   ymw17

606   B1256-67      mlt+78     0.6633290494             3  nmc81      1.5075474245           7  nmc81      94.7           9  hfs+04     1.57   1.57     ymw17
607   B1257+12      wol90a     0.00621853194840048      3  kw03       160.8096586618355      8  kw03       10.16550       3  kw03       0.60   0.88     ymw17
608   J1301+0833    rap+12     0.00184                  0  rap+12       543.478261           0  rap+12     13.2           0  rap+12     1.23   1.23     ymw17
609   J1301-6305    mlc+01     0.18452809509            6  mlc+01     5.4192289772          16  mlc+01     374            1  pkj+13     10.72  10.72    ymw17
610   J1301-6310    kbm+03     0.66382964770            4  kbm+03     1.50641057305         10  kbm+03     86.1          12  kbm+03     1.46   1.46     ymw17

611   J1302-32      hrm+11     0.00377                  0  hrm+11       265.251989           0  hrm+11     26.2           0  hrm+11     1.49   1.49     ymw17
612   J1302-63      nj98       0.32572433               1  nj98       3.07008076            10  nj98       875           10  nj98       25.00  +25.00   ymw17
613   J1302-6313    kbm+03     0.9678462129             4  kbm+03     1.0332220002           5  kbm+03     500           21  kbm+03     11.33  11.33    ymw17
614   B1259-63      jlm+92     0.0477625075             4  sjm14      20.93692420           15  sjm14      146.73         1  pkj+13     2.30   2.21     ymw17
615   J1303-6305    mlc+01     2.3066415539             4  mlc+01     0.43353073142          7  mlc+01     343            3  mlc+01     10.25  10.25    ymw17

616   J1305-6203    mlc+01     0.42776184224            8  mlc+01     2.3377494233           4  mlc+01     471.0          1  pkj+13     11.60  11.60    ymw17
617   J1305-6256    mlc+01     0.47823093284           12  mlc+01     2.0910399795           5  mlc+01     967            3  mlc+01     25.00  +25.00   ymw17
618   B1302-64      mlt+78     0.5716469444             4  nmc81      1.7493314882          13  nmc81      505.0          3  hfs+04     11.90  11.90    ymw17
619   J1305-66      kek+13     0.1972763                2  kek+13     5.069033               6  kek+13     316.1          0  kek+13     11.63  11.63    ymw17
620   J1306-40      kbj+17     0.00220453               2  kbj+17     453.611                5  kbj+17     35             0  kbj+17     1.41   1.41     ymw17

621   J1306-6242    kbm+03     0.98190211848            9  kbm+03     1.01843145175         10  kbm+03     480            6  kbm+03     11.43  11.43    ymw17
622   B1303-66      jlm+92     0.473026470689           7  jml+95     2.11404659562          4  jml+95     436.9          2  jml+95     15.87  15.87    ymw17
623   J1307-6318    mlc+01     4.9624272525            20  mlc+01     0.20151428910          8  mlc+01     374            8  mlc+01     10.78  10.78    ymw17
624   J1307-67      kkl+11     3.65120                  8  bbj+11     0.273883               6  bbj+11     44             2  kkl+11     1.09   1.09     ymw17
625   J1308+2127    hhss02     10.31252206              2  kv05a      0.09696948954         19  kv05a      *              0  *          *      *        *

626   J1308-4650    jbo+09     1.05883304424            3  jbo+09     0.94443595753          3  jbo+09     66            10  jbo+09     2.19   2.19     ymw17
627   J1308-5844    lfl+06     0.4646997488             7  lfl+06     2.151927137            3  lfl+06     205.6         11  lfl+06     6.46   6.46     ymw17
628   J1309-6415    mlc+01     0.6194535568             3  mlc+01     1.6143260283           7  mlc+01     574            5  mlc+01     11.98  11.98    ymw17
629   J1309-6526    kbm+03     0.398292162785          20  kbm+03     2.51071975157         13  kbm+03     340            4  kbm+03     11.26  11.26    ymw17
630   B1309-12      dtws85     0.4475177112318          7  hlk+04     2.234548432167         3  hlk+04     36.214         8  hlk+04     25.00  +25.00   ymw17

631   J1311-3430    pgf+12     0.0025603710316720       3  pgf+12     390.56839326407        4  pgf+12     37.84         26  rrc+13     2.43   2.43     ymw17
632   J1312+0051    rap+12     0.00423                  0  rap+12       236.406619           0  rap+12     15.3           0  rap+12     1.47   1.47     ymw17
633   B1310+18      kapw91     0.033163166              3  kapw91     30.153936              3  kapw91     24.0          15  kapw91     20.60  +25.00   ymw17
634   B1309-53      mlt+78     0.7281542173             3  nmc81      1.3733354504           6  nmc81      133            2  nmc81      4.90   4.90     ymw17
635   B1309-55      mlt+78     0.8492356848             4  nmc81      1.1775294160           6  nmc81      134.1         16  nmc81      4.18   4.18     ymw17

636   J1312-6400    mlc+01     2.43743249609           11  mlc+01     0.410267772176        17  mlc+01     93.0          12  mlc+01     1.53   1.53     ymw17
637   J1313+0931    lzb+00     0.84893275073            2  lzb+00     1.17794960689          3  lzb+00     12.040623     43  bkk+16     1.08   1.08     ymw17
638   J1314-6101    kbm+03     2.9483896038            15  kbm+03     0.33916820176         18  kbm+03     309           13  kbm+03     8.55   8.55     ymw17
639   J1316-6232    cmk01      0.34282539844            6  cmk01      2.9169367397           6  cmk01      983.3          5  hfs+04     25.00  +25.00   ymw17
640   J1317-5759    mll+06     2.64219851320            5  mlk+09     0.378472698022         8  mlk+09     145.3          3  mlk+09     3.77   3.77     ymw17

641   J1317-6302    mlc+01     0.26127055606            3  mlc+01     3.8274500390           3  mlc+01     678.1         12  mlc+01     12.77  12.77    ymw17
642   B1316-60      jlm+92     0.284351393041           6  jml+95     3.51677545626          8  jml+95     400.94         4  jml+95     11.85  11.85    ymw17
643   J1319-6105    kbm+03     0.421118114249           6  kbm+03     2.37463069425          4  kbm+03     442.2          5  kbm+03     12.20  12.20    ymw17
644   J1320-3512    mld+96     0.45848840672            7  dsb+98     2.1810802309           4  dsb+98     16.42         10  dsb+98     0.87   0.87     ymw17
645   B1317-53      mlt+78     0.279729147244           4  smd93      3.57488667110          6  smd93      97.1           1  pkj+13     2.20   2.20     ymw17

646   J1320+67      slr+14     1.028620                35  slr+14     0.97218                4  slr+14     28             2  slr+14     25.00  +25.00   ymw17
647   J1321-5922    kel+09     1.27905759523            7  kel+09     0.78182562203          5  kel+09     383            2  kel+09     25.00  +25.00   ymw17
648   B1322+83      dbtb82     0.670037418386           3  hlk+04     1.492453962361         5  hlk+04     13.31624      76  bkk+16     0.98   0.98     ymw17
649   J1322-62      kek+13     1.044851                 4  kek+13     0.957074               4  kek+13     733.6          0  kek+13     15.74  15.74    ymw17
650   J1322-6241    mlc+01     0.50605841373            5  mlc+01     1.97605646475         16  mlc+01     618.8         19  mlc+01     12.24  12.24    ymw17

651   J1322-6329    kbm+03     2.7642094208             5  kbm+03     0.36176709061          7  kbm+03     659            9  kbm+03     12.38  12.38    ymw17
652   J1324-6146    kbm+03     0.8441085753             3  kbm+03     1.1846817214           5  kbm+03     828            9  kbm+03     25.00  +25.00   ymw17
653   J1324-6302    kbm+03     2.48380369300           10  kbm+03     0.402608307097        17  kbm+03     497            5  kbm+03     11.69  11.69    ymw17
654   B1323-58      mlt+78     0.47799086689            3  dmk+93     2.09209018261         14  dmk+93     287.30        15  hfs+04     3.00   10.67    ymw17
655   B1323-63      mlt+78     0.7926701073             5  nmc81      1.2615588639           8  nmc81      502.7          4  hfs+04     11.99  11.99    ymw17

656   B1322-66      mlt+78     0.5430085792             5  nmc81      1.8415915297          17  nmc81      209.6          3  hfs+04     6.74   6.74     ymw17
657   J1327-0755    blr+13     0.0026779231971205       2  blr+13     373.42370426279        3  blr+13     27.91215       6  blr+13     25.00  +25.00   ymw17
658   B1323-62      kac+73     0.52991319210            1  dmk+93     1.88710153834          4  dmk+93     318.80         6  hfs+04     4.00   6.51     ymw17
659   B1323-627     jlm+92     0.196478664183           3  jml+95     5.08961115019          8  jml+95     294.91         3  jml+95     6.22   6.22     ymw17
660   J1327-6400    mlc+01     0.280677974168          13  mlc+01     3.56280182998         16  mlc+01     679            1  pkj+13     12.98  12.98    ymw17

661   B1325-43      mlt+78     0.53269880337           13  nmc81      1.8772334266           5  nmc81      42.0          10  nmc81      1.42   1.42     ymw17
662   B1325-49      mlt+78     1.4787213559             4  nmc81      0.67625992957         19  nmc81      118            2  nmc81      8.40   8.40     ymw17
663   J1329-6158    kbm+03     1.5652179638             8  kbm+03     0.6388886552           4  kbm+03     514           11  kbm+03     11.87  11.87    ymw17
664   J1331-5245    kjv+10     0.6481166471             2  bbb+12     1.5429321319           5  bbb+12     148.4          3  bbb+12     8.93   8.93     ymw17
665   J1332-03      kkl+15     1.10640                  5  kkl+15     0.90383                5  kkl+15     27.1           2  kkl+15     25.00  +25.00   ymw17

666   J1332-3032    lml+98     0.650434490647          17  hlk+04     1.53743384519          4  hlk+04     15.10         19  hlk+04     0.88   0.88     ymw17
667   J1333-4449    jbo+09     0.345602948594           3  jbo+09     2.89349383178          3  jbo+09     44.3          17  jbo+09     1.43   1.43     ymw17
668   J1334-5839    mld+96     0.1077182159234          2  dsb+98     9.283480899007        18  dsb+98     119.2978       9  dsb+98     2.49   2.49     ymw17
669   J1335-3642    mld+96     0.399192                 3  mld+96     2.505060              19  mld+96     41.7           3  dsb+98     2.48   2.48     ymw17
670   J1337-44      kbj+17     1.25752                  9  kbj+17     0.79522                6  kbj+17     96             0  kbj+17     25.00  +25.00   ymw17

671   J1337-6306    hfs+04     0.207953012189           4  hfs+04     4.80877862491          8  hfs+04     777.7         17  hfs+04     12.93  12.93    ymw17
672   J1337-6423    kjb+12     0.009423406717798       17  nbb+14     106.11873496995       19  nbb+14     259.2         13  nbb+14     5.94   5.94     ymw17
673   B1334-61      jlm+92     1.23898957650            4  jml+95     0.80710929209          3  jml+95     640.3          7  hfs+04     12.37  12.37    ymw17
674   J1339-4712    jbo+09     0.1370546579332          4  jbo+09     7.29635909556          3  jbo+09     39.9           6  jbo+09     1.21   1.21     ymw17
675   J1339-6618    kbm+03     0.55817922185            5  kbm+03     1.79153927781         17  kbm+03     241            3  kbm+03     7.33   7.33     ymw17

676   B1336-64      mlt+78     0.37862206628            4  nmc81      2.6411561530           3  nmc81      76.99         13  hfs+04     1.40   1.40     ymw17
677   J1341-6023    mlc+01     0.627285365870          16  mlc+01     1.59417077842          4  mlc+01     364.6          9  mlc+01     7.28   7.28     ymw17
678   B1338-62      mdt85      0.193339746306          19  wmp+00     5.1722422270           5  wmp+00     719.65         5  pkj+13     12.60  12.60    ymw17
679   J1342+2822A   hrs+07     0.002545                 1  hrs+07     392.93                16  hrs+07     26.5           1  hrs+07     9.90   +25.00   ymw17
680   J1342+2822B   hrs+07     0.002389420757786        1  hrs+07     418.51147259915       18  hrs+07     26.148         2  hrs+07     9.90   +25.00   ymw17

681   J1342+2822C   hrs+07     0.002166                 1  hrs+07     461.7                  3  hrs+07     26.5           1  hrs+07     9.90   +25.00   ymw17
682   J1342+2822D   hrs+07     0.00544297516            6  hrs+07     183.7230504           20  hrs+07     26.358        19  hrs+07     9.90   +25.00   ymw17
683   J1344-6059    kbm+03     0.54010232140            6  kbm+03     1.8515010219           3  kbm+03     435            7  kbm+03     7.42   7.42     ymw17
684   J1345-6115    mlc+01     1.25308459010           18  mlc+01     0.79803072187         11  mlc+01     278.1         20  mlc+01     5.57   5.57     ymw17
685   J1346-4918    bbb+12     0.2996251068             2  bbb+12     3.337504025            3  bbb+12     74.42          7  bbb+12     2.53   2.53     ymw17

686   J1347-5947    mlc+01     0.609961754304          15  mlc+01     1.63944705212          4  mlc+01     293.4          5  mlc+01     6.29   6.29     ymw17
687   J1348-6307    mlc+01     0.9277722389             3  mlc+01     1.0778507462           3  mlc+01     597            3  mlc+01     10.64  10.64    ymw17
688   J1349-6130    mlc+01     0.259362860073           9  mlc+01     3.85560214642         13  mlc+01     284.5          1  pkj+13     5.49   5.49     ymw17
689   J1349-63      ncb+15     0.3730340                1  ncb+15     2.6807208              8  ncb+15     478            3  ncb+15     9.29   9.29     ymw17
690   J1350-5115    lml+98     0.29569917630            3  dsb+98     3.3818153047           4  dsb+98     90.388         8  dsb+98     3.30   3.30     ymw17

691   J1350-6225    cwp+17     0.1381577782128         12  cwp+17     7.23810134280          6  cwp+17     *              0  *          *      *        *
692   J1352-6803    ebvb01     0.628902546380          16  ebvb01     1.59007147571          5  ebvb01     214.6          2  ebvb01     9.91   9.91     ymw17
693   J1354-6249    kbm+03     2.951938334              3  kbm+03     0.3387604641           4  kbm+03     254           17  kbm+03     5.16   5.16     ymw17
694   B1352-51      mlt+78     0.64430109622            8  nmc81      1.55206937543         20  nmc81      112.1          4  nmc81      4.98   4.98     ymw17
695   J1355-5747    lfl+06     2.0386738254             4  lfl+06     0.49051495513          8  lfl+06     229            3  lfl+06     6.44   6.44     ymw17

696   J1355-5925    kbm+03     1.21338122674            5  kbm+03     0.82414329311          4  kbm+03     354.8          9  kbm+03     7.21   7.21     ymw17
697   J1355-6206    kbm+03     0.276603043150          10  kbm+03     3.61528921957         14  kbm+03     547            3  kbm+03     7.54   7.54     ymw17
698   J1356-5521    mld+96     0.507379566696           6  dsb+98     1.97091106075          3  dsb+98     174.172        6  dsb+98     7.32   7.32     ymw17
699   B1353-62      kac+73     0.455761                 1  jlm+92     2.194132               5  jlm+92     416.8          4  hfs+04     6.48   6.48     ymw17
700   J1357-6429    lfl+06     0.166108327507          14  lfl+06     6.0201677725           5  lfl+06     128.5          7  lfl+06     3.10   3.10     ymw17

701   J1358-2533    mld+96     0.912971                 1  dsb+98     1.0953250             12  dsb+98     31.27          1  dsb+98     2.55   2.55     ymw17
702   B1356-60      mlt+78     0.12750077685            3  nmc81      7.8430894674          19  nmc81      293.736        3  pkj+13     5.00   5.47     ymw17
703   J1400-1431    rsm+13     0.00308423326039194      8  skm+17     324.229691976320       9  skm+17     4.932258       3  skm+17     0.28   0.35     ymw17
704   J1400-6325    rmg+10     0.0311816011             3  rmg+10     32.0701941             4  rmg+10     563            4  rmg+10     7.00   9.16     ymw17
705   B1358-63      mlt+78     0.842789632370          14  smd93      1.186535716141        20  smd93      98.0           5  nmc81      1.80   1.76     ymw17

706   B1359-51      vl70       1.380177                 5  mlt+78     0.724545               3  mlt+78     39             5  mlt+78     1.08   1.08     ymw17
707   J1403-6310    kbm+03     0.39917017693            5  kbm+03     2.5051971760           4  kbm+03     305            3  kbm+03     5.67   5.67     ymw17
708   J1403-7646    lml+98     1.3061978120             8  ebvb01     0.7655808261           5  ebvb01     100.6          1  dsb+98     5.30   5.30     ymw17
709   J1404+1159    cha03      2.65043873290            3  bfrs18     0.377296025592         4  bfrs18     18.466         9  bfrs18     2.18   2.18     ymw17
710   J1405-42      kbj+17     2.34680                  4  kbj+17     0.426112               8  kbj+17     64             0  kbj+17     3.66   3.66     ymw17

711   J1405-4656    btb+15     0.00760220343251         1  btb+15     131.54081035554       18  btb+15     13.884         3  btb+15     0.67   0.67     ymw17
712   J1405-5641    lfl+06     0.61757468514            4  lfl+06     1.61923735551          9  lfl+06     273            3  lfl+06     12.40  12.40    ymw17
713   J1406-5806    kbm+03     0.28834924425            5  kbm+03     3.4680167191           7  kbm+03     229            3  kbm+03     5.57   5.57     ymw17
714   J1406-6121    mlc+01     0.213074653776          14  mlc+01     4.6931907774           3  mlc+01     537.8          4  pkj+13     7.30   7.30     ymw17
715   J1407-6048    mlc+01     0.49234420664            5  mlc+01     2.03109935390         20  mlc+01     575.2         17  mlc+01     7.86   7.86     ymw17

716   J1407-6153    mlc+01     0.7016149492             3  mlc+01     1.4252832000           6  mlc+01     645            9  mlc+01     8.20   8.20     ymw17
717   J1409-6953    bbb+12     0.5285907792             3  bbb+12     1.8918226336          11  bbb+12     167.63        30  tjb+14     8.75   8.75     ymw17
718   J1410-6132    ojk+08     0.0500519462             0  ojk+08        19.979243           0  ojk+08     961.0          3  pkj+13     13.51  13.51    ymw17
719   J1410-7404    eb01b      0.2787294436271         15  eb01b      3.587708521163        20  eb01b      54.24          6  eb01b      1.34   1.34     ymw17
720   J1411+2551    msf+17     0.062452895517590        2  msf+17     16.0120678426887       6  msf+17     12.3737        3  msf+17     1.13   1.13     ymw17

