42    J0045-7319    mmh+91     0.92627590497            3  kbm+96     1.07959193868          4  kbm+96     105.4          7  kjb+94     59.70  58.7     ymw17
43    B0045+33      dtws85     1.217094296058           8  hlk+04     0.821629025162         5  hlk+04     39.922        15  bkk+16     4.50   4.50     ymw17
44    J0050+03      dsm+16     1.36656                  0  dsm+16         0.731764           0  dsm+16     26.5           0  dsm+16     25.00  +25.00   ymw17
45    J0051+0423    snt97      0.35473179890            1  snt97      2.81903117539          8  snt97      13.9           1  snt97      1.25   1.25     ymw17

46    J0053+69      slr+14     0.832938                28  slr+14     1.20057                5  slr+14     117            2  slr+14     2.75   2.75     ymw17
47    J0054+66      hrk+08     1.39                     0  hrk+08         0.719424           0  hrk+08     15             0  hrk+08     0.90   0.90     ymw17
48    J0054+69      kkl+15     *                        0  *          *                      0  *          90.3           2  kkl+15     2.35   2.35     ymw17
49    B0052+51      dtws85     2.115171148865           4  hlk+04     0.4727749811340        8  hlk+04     44.0127       24  bkk+16     1.94   1.94     ymw17
50    B0053+47      dtws85     0.472036662076           7  hlk+04     2.11847951725          3  hlk+04     18.1354       13  bkk+16     1.12   1.12     ymw17

51    J0057-7201    ckm+01     0.7380624426             2  ckm+01     1.3548989114           4  ckm+01     27             5  ckm+01     3.48   3.48     ymw17
52    J0058+6125    hrk+08     0.637                    0  hrk+08         1.569859           0  hrk+08     129            0  hrk+08     2.61   2.61     ymw17
53    J0059+50      slr+14     0.996009                61  slr+14     1.00401                7  slr+14     67             2  slr+14     2.61   2.61     ymw17
54    J0100-7211    lfmp02     8.020392                 9  mgr+05     0.12468219            14  mgr+05     *              0  *          59.70  *        *
55    J0101-6422    kcj+12     0.0025731519721683       2  kcj+12     388.62842568810        4  kcj+12     11.926         1  kcj+12     1.00   1.00     ymw17

56    J0102+4839    hrm+11     0.00296                  0  hrm+11       337.837838           0  hrm+11     53.5           0  hrm+11     2.38   2.38     ymw17
57    B0059+65      dbtb82     1.679164229064          12  hlk+04     0.595534363281         4  hlk+04     65.853        16  hlk+04     1.98   1.98     ymw17
58    J0103+54      kkl+15     0.354304                 6  kkl+15     2.82243                5  kkl+15     55.605         4  kkl+15     2.01   2.01     ymw17
59    J0106+4855    pga+12     0.0831573050050          6  pga+12     12.02540173638         8  pga+12     70.87         20  pga+12     3.06   3.06     ymw17
60    J0108-1431    tnj+94     0.807564614019          20  hlk+04     1.23829100810          3  hlk+04     2.38          19  hlk+04     0.21   0.23     ymw17

61    B0105+65      dls72      1.2836598429             5  hlk+04     0.7790225779           3  hlk+04     30.5482       14  bkk+16     1.46   1.46     ymw17
62    B0105+68      dtws85     1.071118109859           5  hlk+04     0.933603858245         4  hlk+04     61.0617       36  bkk+16     1.98   1.98     ymw17
63    J0111-7131    mfl+06     0.68854151164            5  mfl+06     1.45234525892         11  mfl+06     76             3  mfl+06     59.70  59.2     ymw17
64    J0112+66      slr+14     4.30124                 70  slr+14     0.23249                4  slr+14     112            3  slr+14     2.42   2.42     ymw17
65    J0113-7220    ckm+01     0.32588301613            1  ckm+01     3.06858581302         10  ckm+01     125.49         3  ckm+01     59.70  61.0     ymw17

66    B0114+58      stwd85     0.1014390664824         20  hlk+04     9.85813488508         19  hlk+04     49.42068      59  bkk+16     1.77   1.77     ymw17
67    J0125+62      slr+14     1.708233                98  slr+14     0.58540                4  slr+14     118            2  slr+14     2.40   2.40     ymw17
68    J0131-7310    mfl+06     0.348124045581           7  mfl+06     2.87253929366          6  mfl+06     205.2          7  mfl+06     59.70  100.0    ymw17
69    J0133-6957    lml+98     0.463473741703           3  dsb+98     2.157619537033        14  dsb+98     22.948         8  dsb+98     2.44   2.44     ymw17
70    J0134-2937    mld+96     0.136961610513651       14  lwy+16     7.3013160129300        7  lwy+16     21.806         6  hlk+04     25.00  +25.00   ymw17

71    J0136+63      slr+14     0.717895                27  slr+14     1.39296                6  slr+14     286            2  slr+14     9.12   9.12     ymw17
72    J0137+1654    lxf+05     0.4147630265082          5  lxf+05     2.411015293284         3  lxf+05     26.0838       24  bkk+16     3.06   3.06     ymw17
73    J0139+5621    cvh+14     1.77534382596           10  cvh+14     0.56327117338          3  cvh+14     101.842       32  cvh+14     2.41   2.41     ymw17
74    B0136+57      dth78      0.272450630950          15  hlk+04     3.67038973818         20  hlk+04     73.81141      76  bkk+16     2.60   2.01     ymw17
75    B0138+59      mth72      1.2229485205457         18  hlk+04     0.8176959072274       12  hlk+04     34.926         4  srb+15     2.30   1.50     ymw17

76    J0141+63      slr+14     0.04668588              49  slr+14     21.4198                3  slr+14     272.6          4  slr+14     8.77   8.77     ymw17
77    J0146+31      ttol16     0.9381                   0  ttol16         1.065984           0  ttol16     25             1  ttol16     1.83   1.83     ymw17
78    J0146+6145    ims94      8.6889941                4  dk14       0.115088121            5  dk14       *              0  *          3.60   *        *
79    B0144+59      stwd85     0.19632137543003        16  ywml10     5.093688844679         4  ywml10     40.111         3  hlk+04     1.58   1.58     ymw17
80    B0148-06      mlt+78     1.464664549334           7  hlk+04     0.682750190448         3  hlk+04     25.66          3  hlk+04     25.00  +25.00   ymw17

81    J0152+0948    clm+05     2.74664729014           10  clm+05     0.364080238329        14  clm+05     22.881        12  bkk+16     2.48   2.48     ymw17
82    B0149-16      mlt+78     0.8327416126878         13  hlk+04     1.2008526831899       18  hlk+04     11.92577       4  srb+15     0.92   0.92     ymw17
83    J0156+04      dsm+16     *                        0  *          *                      0  *          27.5           0  dsm+16     25.00  +25.00   ymw17
84    B0153+39      dtws85     1.81156061131           10  hlk+04     0.55201023568          3  hlk+04     59.833        11  bkk+16     4.91   4.91     ymw17
85    B0154+61      dls72      2.35174493646            7  hlk+04     0.425216180759        11  hlk+04     30.21          3  hlk+04     1.39   1.39     ymw17

86    J0158+21      dsm+13     0.5053                   0  dsm+13         1.979022           0  dsm+13     20             0  dsm+13     1.57   1.57     ymw17
87    J0201+7005    kkl+15     1.349184471846          10  kkl+15     0.741188488948         5  kkl+15     21.029         2  kkl+15     1.17   1.17     ymw17
88    J0205+6449    mss+02     0.06571592849324         9  lrc+09     15.21701089718         2  lrc+09     140.7          3  csl+02     3.20   2.78     ymw17
89    B0203-40      mlt+78     0.630550140847           6  smd93      1.585916702289        16  smd93      12.9          12  nmc81      1.26   1.26     ymw17
90    J0211-8159    lml+98     1.0773327013             8  dsb+98     0.9282183663           7  dsb+98     24.36          3  dsb+98     1.52   1.52     ymw17

91    J0212+5222    bck+13     0.376386292              1  bck+13     2.656844899            8  bck+13     38.23555      45  bkk+16     1.56   1.56     ymw17
92    J0214+5222    slr+14     0.02457529479071        22  slr+14     40.6912718043          4  slr+14     22.0354       34  slr+14     1.16   1.16     ymw17
93    J0215+6218    llc98      0.548879819155           3  hlk+04     1.821892452777         9  hlk+04     84.00          5  hlk+04     2.00   2.00     ymw17
94    J0218+4232    nbf+95     0.00232309053151224      8  dcl+16     430.461054545748      15  dcl+16     61.252         5  hlk+04     3.15   2.93     ymw17
95    J0220+36      ttol16     1.0297                   0  ttol16         0.971157           0  ttol16     40            10  ttol16     2.25   2.25     ymw17

96    J0229+20      dsm+13     0.8069                   0  dsm+13         1.239311           0  dsm+13     27             0  dsm+13     2.09   2.09     ymw17
97    B0226+70      dtws85     1.466820306152           7  hlk+04     0.681746765985         3  hlk+04     46.6794       16  bkk+16     1.76   1.76     ymw17
