50    J0325+67     slr+14     1.364741                62  slr+14     0.73274                4  slr+14     65             2  slr+14     1.93

51    J0329+1654   lxf+05     0.893319660649           1  lxf+05     1.1194201180723       13  lxf+05     40.821        36  bkk+16     2.56
52    B0329+54     cp68       0.714519699726           4  hlk+04     1.399541538720         6  hlk+04     26.7641        1  hsh+12     1.00
53    J0332+79     kkl+15     2.05621                  6  kkl+15     0.486332              15  kkl+15     16.67          2  kkl+15     1.05
54    J0338+66     slr+14     1.76200                 15  slr+14     0.56754                5  slr+14     67             2  slr+14     1.93
55    J0341+5711   hrk+08     1.888                    0  hrk+08         0.529661           0  hrk+08     100            0  hrk+08     2.03

56    J0343-3000   bjd+06     2.59702715738            9  bjd+06     0.385055657642        14  bjd+06     20.2           3  bjd+06     1.59
57    B0339+53     dth78      1.934478067294          15  hlk+04     0.516935299969         4  hlk+04     67.30          6  hlk+04     1.71
58    B0403-76     mlt+78     0.545252742352          16  smd93      1.83401186702          6  smd93      21.7           1  pkj+13     1.01
59    B0402+61     dth78      0.5945761650437          8  ywml10     1.681870311647         2  ywml10     65.4053       34  bkk+16     1.79
60    J0408+551    hrk+08     1.837                    0  hrk+08         0.544366           0  hrk+08     55             0  hrk+08     1.57

61    J0408+552    hrk+08     0.754                    0  hrk+08         1.326260           0  hrk+08     64             0  hrk+08     1.66
62    J0410-31     bbj+11     1.8785                   2  bbj+11     0.53234                6  bbj+11     9.2            3  bbj+11     0.41
63    J0413+58     hrk+08     0.687                    0  hrk+08         1.455604           0  hrk+08     57             0  hrk+08     1.63
64    J0417+35     cnst96     0.65440                  3  cnst96     1.52812                8  cnst96     48.5336       12  bkk+16     1.48
65    J0418-4154   bcm+15     0.75711887132            6  bcm+15     1.3207965590           1  bcm+15     24.54          8  bcm+15     2.57

66    J0418+5732   vck+10     9.07838822               5  rip+13     0.1101517115           7  rip+13     *              0  *          *
67    J0419+44     hrk+08     1.241                    0  hrk+08         0.805802           0  hrk+08     71             0  hrk+08     1.69
68    J0420-5022   hmz+04     3.453004027             12  kv11       0.2896029058          10  kv11       *              0  *          *
69    J0421-0345   mld+96     2.161308494552          15  hlk+04     0.462682676962         3  hlk+04     44.61          9  hlk+04     2.20
70    J0421+32     ttol16     0.9005                   0  ttol16         1.110494           0  ttol16     75            15  ttol16     1.91

71    J0426+4933   hrk+08     0.922474730055           2  bck+13     1.084040535116         3  bck+13     85             0  hrk+08     1.80
72    J0447-04     kkl+15     2.18819                  2  kkl+15     0.456999               5  kkl+15     29.83          4  kkl+15     0.67
73    B0450-18     vlw69      0.548939223294           3  hlk+04     1.821695294426         7  hlk+04     39.903         3  hlk+04     0.40
74    J0456-7031   mfl+06     0.80013207321           10  mfl+06     1.24979366967         16  mfl+06     100.3          3  mfl+06     49.70
75    J0457+23     dsm+13     0.5049                   0  dsm+13         1.980590           0  dsm+13     59             0  dsm+13     1.52

76    J0457-6337   mfl+06     2.49701169613           19  mfl+06     0.40047870082          4  mfl+06     27.5          10  mfl+06     1.33
77    J0458-0505   lbr+13     1.88347965849           18  lbr+13     0.53093220067          6  lbr+13     47.806        32  lbr+13     1.94
